Accession,Organism_Name,Submitters,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Molecule_type,Length,Genotype,Protein,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
UJZ72775,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Tugwell,M., Moon,L., Paden,C.R., MacCannell,D.",2022-02-01,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,CO-CDC-MMB13474268,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),43,,ORF7b protein,USA: Colorado,USA,CO,Homo sapiens,oronasopharynx,2022-01-14
WRR39671,Severe acute respiratory syndrome coronavirus 2,"Andersen,K.",2024-01-12,B.1.429,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,SEARCH-15442,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),275,,ORF3a protein,USA,USA,,Homo sapiens,,2021-01-12
UTK56059,Severe acute respiratory syndrome coronavirus 2,"Linares-Perdomo,O.J.",2022-07-13,BF.26,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,UT-UPHL-220708971015,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),43,,ORF7b protein,USA,USA,,Homo sapiens,,2022-06-29
QKV07806,Severe acute respiratory syndrome coronavirus 2,"Nickerson,D.A., Frazar,C.D., Lee,J., Pelle,B., Richardson,M., Adler,A., Brandstetter,E., Han,P.D., Fay,K., Ilcisin,M., Lacombe,K., Sibley,T.R., Truong,M., Wolf,C.R., Gautom,R., Melly,G., Hiatt,B., Dykema,P., Lindquist,S., Boeckh,M., Englund,J.A., Famulare,M., Lutz,B.R., Rieder,M.J., Starita,L.M., Thompson,M., Chu,H.Y., Shendure,J., Bedford,T.",2020-06-17,A.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,WA-S368,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),4405,,ORF1a polyprotein,"USA: Washington,Yakima County",USA,WA,Homo sapiens,,2020-03-26
QWQ08927,Severe acute respiratory syndrome coronavirus 2,"Consortium,C.",2021-06-12,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,CA-CZB-31455,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),61,,ORF6 protein,USA: CA,USA,CA,Homo sapiens,,2021-04-23
UAX34152,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Tugwell,M., Moon,L., Paden,C.R., MacCannell,D.",2021-09-17,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,FL-CDC-MMB09478581,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),43,,ORF7b protein,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,2021-07-26
QUL69819,Severe acute respiratory syndrome coronavirus 2,"Fink,L.",2021-04-29,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,VA-DCLS-4393,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),1270,,surface glycoprotein,USA: Virginia,USA,VA,Homo sapiens,,2021-03
URA12937,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-05-23,BA.2.12.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,CO-CDC-QDX36714456,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),275,,ORF3a protein,USA: Colorado,USA,CO,Homo sapiens,oronasopharynx,2022-05-04
UMM79159,Severe acute respiratory syndrome coronavirus 2,"Johnson,E.J., Malone,D., Benoit,J., Griego-Fisher,A.M., Willmon,T.M., Tinnin,J., Nichols,C., Kunkel,J.",2022-03-03,AY.25.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,NMDOH-2021229901,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),419,,nucleocapsid phosphoprotein,USA: New Mexico,USA,NM,Homo sapiens,oronasopharynx,2021-12-05
QVW81699,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Bixby,C., Wang,Y., Schultz,J., Goswami,C., Hager,R., Grimwood,R., Paden,C.R., MacCannell,D.",2021-05-26,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,MN-CDC-IBX645934696824,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),7093,,ORF1ab polyprotein,USA: Minnesota,USA,MN,Homo sapiens,,2021-04-19
UGY83019,Severe acute respiratory syndrome coronavirus 2,"Johnson,E.J., Malone,D., Benoit,J., Griego-Fisher,A.M.",2021-12-15,AY.25.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,NMDOH-2021215257,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),43,,ORF7b protein,USA: New Mexico,USA,NM,Homo sapiens,oronasopharynx,2021-11-13
UHN04042,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",2021-12-23,AY.3,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,MO-CDC-LC0419482,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),4405,,ORF1a polyprotein,USA: Missouri,USA,MO,Homo sapiens,oronasopharynx,2021-11-30
UQE68535,Severe acute respiratory syndrome coronavirus 2,"Johnson,B.N., Beck,J., Finnicum,C.T., Silvernail,C., Vaselaar,E., Kallsen,N., Long,K., Katz,C., Pfeifle,M., Nelson,L., Huizenga,P., Streier,Z., Viet,S., Davis,C., Petersen,J., Peta,V., Do,T., Agany,D.M., Hoffman,M., Cooper,L., McFadden,L., Huber,V., Gnimpieba,E.Z., Ehli,E.A.",2022-05-09,B.1.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,SD-SDAIHG-0825,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),61,,ORF6 protein,USA: South Dakota,USA,SD,,,2021-02-18
UYA53015,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-10-11,BA.4.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,IL-CDC-QDX41756295,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF8 protein,USA: Illinois,USA,IL,Homo sapiens,oronasopharynx,2022-09-23
ULD32776,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Tugwell,M., Moon,L., Paden,C.R., MacCannell,D.",2022-02-16,BA.1.1.18,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,CO-CDC-MMB13754636,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),222,,membrane glycoprotein,USA: Colorado,USA,CO,Homo sapiens,oronasopharynx,2022-01-21
UPH77820,Severe acute respiratory syndrome coronavirus 2,"Linares-Perdomo,O.J.",2022-04-21,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,UT-UPHL-220304007839,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),416,,nucleocapsid phosphoprotein,USA,USA,,Homo sapiens,,2022-02-07
UTK55093,Severe acute respiratory syndrome coronavirus 2,"Linares-Perdomo,O.J.",2022-07-13,BA.5.2.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,UT-UPHL-220708859992,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),38,,ORF10 protein,USA,USA,,Homo sapiens,,2022-06-28
UQD49375,Severe acute respiratory syndrome coronavirus 2,"Levasseur,A.",2022-05-09,AY.43,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,IHUCOVID-053926-Nova1M,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),38,,ORF10 protein,France,France,,Homo sapiens,,2021-12-13
QOL76345,Severe acute respiratory syndrome coronavirus 2,"Bhatt,K.",2020-10-20,B.1.320,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,CA-CZB-4067,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),1273,,surface glycoprotein,"USA: CA, Orange County",USA,CA,Homo sapiens,,2020-08-05
UQU24827,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",2022-05-18,BA.2.12.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,SC-CDC-LC0615480,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),38,,ORF10 protein,USA: South Carolina,USA,SC,Homo sapiens,oronasopharynx,2022-05-05
UOU27392,Severe acute respiratory syndrome coronavirus 2,"Bankers,L., Bogale,H.N., Hetherington-Rauth,M.C., Ir,D., Matzinger,S.R., Rossheim,A., Smith,A.",2022-04-13,AY.100,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,CO-CDPHE-2103065346,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),119,,ORF8 protein,USA,USA,,Homo sapiens,,2022-01-09
USE26233,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-06-14,BA.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,TX-CDC-QDX37501332,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),43,,ORF7b protein,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,2022-05-29
UXO00195,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-09-29,BF.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,TX-CDC-QDX41426457,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),43,,ORF7b protein,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,2022-09-12
UMQ96346,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Tugwell,M., Moon,L., Paden,C.R., MacCannell,D.",2022-03-07,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,CO-CDC-MMB14171046,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),222,,membrane glycoprotein,USA: Colorado,USA,CO,Homo sapiens,oronasopharynx,2022-02-04
UJN15403,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.",2022-01-24,BA.2.2.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,NJ-CDC-STM-6J69GXGVU,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF7a protein,USA: New Jersey,USA,NJ,Homo sapiens,oronasopharynx,2022-01-08
UYB00452,Severe acute respiratory syndrome coronavirus 2,"Prokop,J., Chesla,D., Caulfield,A., Olivero,R., Liu,C., Pell,S., Alberta,S.",2022-10-11,BA.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,MI-SH_MSU-H09_I_1770_LL5,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),416,,nucleocapsid phosphoprotein,USA: Michigan,USA,MI,Homo sapiens,oronasopharynx,2022-04-22
UOD72885,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2022-04-04,BA.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,MD-CDC-ASC210739106,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF8 protein,USA: Maryland,USA,MD,Homo sapiens,,2022-03-25
UWL35296,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",2022-09-09,BF.28,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,NY-CDC-LC0864287,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),43,,ORF7b protein,USA: New York,USA,NY,Homo sapiens,oronasopharynx,2022-08-29
UHM82258,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Gao,H., Li,M., Gao,J., Fierro,J., Sapra,B., Tsai,B., Meng,Y., Ng,D., Xie,J., Paden,C.R., MacCannell,D.",2021-12-22,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,CA-CDC-FG-193665,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),75,,envelope protein,USA: California,USA,CA,Homo sapiens,oronasopharynx,2021-12-14
UYB97096,Severe acute respiratory syndrome coronavirus 2,"Sheth,M., Nobles,S., Madden,J., Padilla,J., Burgin,A., Bentz,M., Burroughs,M., Cook,P., Paden,C.R., Batra,D., Knipe,K., Howard,D., Unoarumhi,Y., Schmerer,M., Rambo-Martin,B.L., Lacek,K., Shepard,S., Wentworth,D., Dugan,V., Lee,J.",2022-10-12,BA.5.1.22,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,NM-CDC-2-6482249,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),38,,ORF10 protein,USA: NM,USA,NM,Homo sapiens,oronasopharynx,2022-08-31
UHA42991,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2021-12-17,AY.20,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,NM-CDC-ASC210431501,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF7a protein,USA: New Mexico,USA,NM,Homo sapiens,,2021-11-21
WJF62838,Severe acute respiratory syndrome coronavirus 2,"Taboada,B., Zarate,S., Garcia-Lopez,R., Munoz-Medina,J.E., Gomez-Gil,B., Herrera-Estrella,A., Sanchez-Flores,A., Salas-Lais,A.G., Roche,B., Martinez-Morales,G., Dominguez Zarate,H., Duque Molina,C., Aviles Hernandez,R., Lopez,S., Arias,C.F., Alvarado-Yaah,J.E., Becerril-Vargas,E., Cabrera-Gaytan,D.A., Corona Armenta,G., Chaidez-Quiroz,C., Dominguez-Zarate,H., Enciso-Ibarra,J., Espinosa-Ayala,G., Fregoso-Rueda,D., Garcia-Gasca,A., Gonzalez,J.P., Gonzalez-Lopez,I., Grande,R., Herrera-Najera,C.I., Jimenez-Moraila,B., Lira-Morales,D., Maldonado-Meza,B.I., Marquez-Rosales,M.G., Martinez-Alvarez,J.C., Martinez-Miguel,B., Martinez-Morales,G.B., Martinez-Rodriguez,C., Mejia-Nepomuceno,F., Mireles-Rivera,M.G., Molina-Salinas,G.M., Montoya-Fuentes,H., Mujica-Sanchez,M., Nunez-Contreras,J., Salinas-Peralta,I.P., Rivas-Santiago,B.T., Rosales-Rivera,M., Salas-Hernandez,J., Santacruz-Tinoco,C.E., Selem-Mojica,N., Vazquez,G., Vazquez-Perez,J.A.",2023-06-21,BA.5.1.23,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,MEX_10295,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),75,,envelope protein,Mexico,Mexico,,Homo sapiens,,2022-08-10
URK63457,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.",2022-05-31,BA.2.12.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,DE-CDC-STM-DE46VJZQV,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),43,,ORF7b protein,USA: Delaware,USA,DE,Homo sapiens,oronasopharynx,2022-05-17
UHB36604,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Gao,H., Li,M., Gao,J., Fierro,J., Sapra,B., Tsai,B., Meng,Y., Ng,D., Xie,J., Paden,C.R., MacCannell,D.",2021-12-17,AY.103,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WI-CDC-FG-189403,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),4405,,ORF1a polyprotein,USA: Wisconsin,USA,WI,Homo sapiens,oronasopharynx,2021-12-08
WSO79367,Severe acute respiratory syndrome coronavirus 2,"Andersen,K.",2024-01-22,BA.1.15.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,SEARCH-76872,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),75,,envelope protein,USA,USA,,Homo sapiens,,2022-01-10
QVP24576,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Bixby,C., Wang,Y., Schultz,J., Goswami,C., Hager,R., Grimwood,R., Paden,C.R., MacCannell,D.",2021-05-21,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,MN-CDC-IBX976471133161,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),222,,membrane glycoprotein,USA: Minnesota,USA,MN,Homo sapiens,,2021-04-29
UCS61515,Severe acute respiratory syndrome coronavirus 2,"Sheth,M., Nobles,S., Madden,J., Padilla,J., Burgin,A., Bentz,M., Burroughs,M., Cook,P., Paden,C.R., Batra,D., Knipe,K., Howard,D., Unoarumhi,Y., Schmerer,M., Rambo-Martin,B.L., Lacek,K., Shepard,S., Wentworth,D., Dugan,V., Lee,J.",2021-10-13,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,AR-CDC-2-4979794,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),275,,ORF3a protein,USA: AR,USA,AR,Homo sapiens,,2021-09-17
USQ23938,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.",2022-06-27,BA.2.12.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,IL-CDC-STM-Z3W93K677,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),4402,,ORF1a polyprotein,USA: Illinois,USA,IL,Homo sapiens,oronasopharynx,2022-06-06
UMF97306,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Tugwell,M., Moon,L., Paden,C.R., MacCannell,D.",2022-03-02,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WI-CDC-MMB14024662,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),222,,membrane glycoprotein,USA: Wisconsin,USA,WI,Homo sapiens,oronasopharynx,2022-01-30
UHQ35329,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Tugwell,M., Moon,L., Paden,C.R., MacCannell,D.",2021-12-27,AY.103,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,CO-CDC-MMB11856264,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),38,,ORF10 protein,USA: Colorado,USA,CO,Homo sapiens,oronasopharynx,2021-11-28
UVG94372,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",2022-08-23,BE.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,VA-CDC-LC0828411,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),75,,envelope protein,USA: Virginia,USA,VA,Homo sapiens,oronasopharynx,2022-08-08
