Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
OX431533,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2/20/2023,BQ.1.26,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29849,GenBank,complete,,United Kingdom:Scotland,United Kingdom,,Homo sapiens,,11/7/2022
OY674473,Severe acute respiratory syndrome coronavirus 2,,"Yourgene Health, Citylabs 1.0, Nelson Street, Manchester, M13 9NQ",,8/3/2023,BA.1.16,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29779,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,2/11/2022
ON966246,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,7/12/2022,BA.5.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,NV-CDC-LC0745987,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29625,GenBank,complete,,USA: Nevada,USA,NV,Homo sapiens,oronasopharynx,6/20/2022
ON694591,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,6/7/2022,BA.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,FL-CDC-STM-B4BGCN9X5,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29848,GenBank,complete,,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,5/24/2022
OM661032,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Tugwell,M., Moon,L., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2/12/2022,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,CO-CDC-MMB13962137,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29770,GenBank,complete,,USA: Colorado,USA,CO,Homo sapiens,oronasopharynx,1/27/2022
OD990663,Severe acute respiratory syndrome coronavirus 2,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,5/7/2021,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29884,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,2/11/2021
OQ112694,Severe acute respiratory syndrome coronavirus 2,"Scribner,M.","California Department of Public Health, IDLB VRDL/COVIDNet",USA,12/23/2022,BN.1.3.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,CA-CDPH-FS48082561,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29774,GenBank,complete,,USA,USA,,Homo sapiens,,11/23/2022
OY949598,Severe acute respiratory syndrome coronavirus 2,,"Oxford, United Kingdom; Basingstoke",United Kingdom,12/9/2023,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29884,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,12/27/2020
OL748633,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,12/7/2021,AY.103,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,TX-CDC-ASC210423038,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29806,GenBank,complete,,USA: Texas,USA,TX,Homo sapiens,,11/15/2021
BS004792,Severe acute respiratory syndrome coronavirus 2,"Nagaoka,H., Arita,Y., Ishigami,K., Mori,H., Tanizawa,Y., Asano,S., Fujisawa,T., Arita,M., Kurokawa,K., Mitsunaga,S., Toyoda,A., Inoue,I.","Mishima, Shizuoka 411-8540",Japan,7/9/2022,BA.2.24,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,SZ-NIG-Y220388,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29744,GenBank,complete,,"Japan:Shizuoka, west",Japan,,Homo sapiens,oronasopharynx,5/23/2022
ON719801,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,6/9/2022,BA.4.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,TX-CDC-STM-DJN5HVGEN,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29835,GenBank,complete,,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,5/29/2022
OY640674,Severe acute respiratory syndrome coronavirus 2,,"Yourgene Health, Citylabs 1.0, Nelson Street, Manchester, M13 9NQ",,8/2/2023,BA.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29836,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,1/7/2022
PP120694,Severe acute respiratory syndrome coronavirus 2,"Andersen,K.","The Scripps Research Institute, Immunology and Microbiology",USA,1/12/2024,B.1.427,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,SEARCH-11549,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29846,GenBank,complete,,USA,USA,,Homo sapiens,,2/22/2021
MZ264997,Severe acute respiratory syndrome coronavirus 2,"Lang,A.S., Fink,T., Gallagher,G.R., Smole,S.C.","Massachusetts State Public Health Lab, DPH",USA,5/21/2021,P.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,MA-MASPHL-03760,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29791,GenBank,complete,,USA,USA,,Homo sapiens,,5/12/2021
OM338545,Severe acute respiratory syndrome coronavirus 2,"Sheth,M., Nobles,S., Madden,J., Padilla,J., Burgin,A., Bentz,M., Burroughs,M., Cook,P., Paden,C.R., Batra,D., Knipe,K., Howard,D., Unoarumhi,Y., Schmerer,M., Rambo-Martin,B.L., Lacek,K., Shepard,S., Wentworth,D., Dugan,V., Lee,J.","Centers for Disease Control and Prevention, Biotechnology Core Facility Branch",USA,1/21/2022,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,VI-CDC-2-5384227,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29789,GenBank,complete,,USA: VI,USA,VI,Homo sapiens,,12/28/2021
OQ444792,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2/16/2023,BQ.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,TX-CDC-QDX46327443,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29718,GenBank,complete,,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,1/30/2023
OP126985,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,8/2/2022,BA.4.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,VA-CDC-QDX39121272,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29709,GenBank,complete,,USA: Virginia,USA,VA,Homo sapiens,oronasopharynx,7/15/2022
MZ385767,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L., Livingston,K., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch",USA,6/14/2021,P.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,NH-CDC-QDX25472462,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29777,GenBank,complete,,USA: New Hampshire,USA,NH,Homo sapiens,oronasopharynx,5/31/2021
OD968695,Severe acute respiratory syndrome coronavirus 2,"Wynn,J., Hyland,M., The Lighthouse Lab in Alderley,Park., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,5/3/2021,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29884,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,1/29/2021
OU859866,Severe acute respiratory syndrome coronavirus 2,,"Northumbria University, Newcastle upon Tyne, NE1 8SB, UK / The James Cook University Hospital, Middlesbrough TS4 3BW / Cumberland Infirmary, Newtown Road, Carlisle, Cumbria, CA2 7HY / University Hospital of North Tees, Hardwick Road, Stockton on Tees, Cleveland, TS19 8PE / The Newcastle upon Tyne Hospitals NHS Foundation Trust, Freeman Hospital, Freeman Road, High Heaton, Newcastle upon Tyne Ne7 7Dn",,10/21/2021,AY.4,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29890,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,9/16/2021
OQ901475,Severe acute respiratory syndrome coronavirus 2,"Colson,P., Levasseur,A., Boschi,C., Fournier,P.-E., La Scola,B.","IHU Mediterranee Infection, IHU Mediterranee Infection",France,5/1/2023,BA.2.6,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,IHUCOVID-072422,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29627,GenBank,complete,,France,France,,Homo sapiens,oronasopharynx,2022-03
OQ063650,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,12/16/2022,BQ.1.1.3,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,CA-CDC-STM-QM8RU99XR,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29811,GenBank,complete,,USA: California,USA,CA,Homo sapiens,oronasopharynx,12/1/2022
OU860382,Severe acute respiratory syndrome coronavirus 2,,"Quadram Institute Bioscience, Norwich Research Park Norwich Nr4 7Uq",,10/21/2021,AY.4,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29887,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,9/29/2021
OP182467,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,8/9/2022,BA.4.6,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,NY-CDC-QDX39412855,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29709,GenBank,complete,,USA: New York,USA,NY,Homo sapiens,oronasopharynx,7/24/2022
OQ123186,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,12/27/2022,BQ.1.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,FL-CDC-LC0964284,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29720,GenBank,complete,,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,12/16/2022
ON835163,Severe acute respiratory syndrome coronavirus 2,"Bankers,L., Bogale,H.N., Hetherington-Rauth,M.C., Ir,D., Matzinger,S.R., Rossheim,A., Smith,A.","CDPHE SARS-CoV-2 submissions, Department of Microbiology",USA,6/24/2022,BA.5.2.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,CO-CDPHE-36831963,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29723,GenBank,complete,,USA,USA,,Homo sapiens,,5/31/2022
OY990687,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,12/28/2023,JD.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29868,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,11/18/2023
OX819791,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,6/19/2023,BA.1.15.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29867,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,1/1/2022
OV084436,Severe acute respiratory syndrome coronavirus 2,,"Quadram Institute Bioscience, Norwich Research Park Norwich Nr4 7Uq",,11/26/2021,AY.4,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29896,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,2020
OX610656,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,5/15/2023,BA.5.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29876,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,8/22/2022
ON636260,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,5/31/2022,BA.2.12.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,MI-CDC-QDX36901299,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29724,GenBank,complete,,USA: Michigan,USA,MI,Homo sapiens,oronasopharynx,5/10/2022
ON621119,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,5/27/2022,BA.5.5,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,CA-CDC-STM-DA5B7M7NQ,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29842,GenBank,complete,,USA: California,USA,CA,Homo sapiens,oronasopharynx,5/15/2022
LR883125,Severe acute respiratory syndrome coronavirus 2,"Oude Munnink,B., Nieuwenhuijse,D., Sikkema,R., Schapendonk,C., Chestakova,I., van der Linden,A., Bestebroer,T., van Nieuwkoop,S., Pronk,M., Lexmond,P., Swaan,C., Haverkate,M., Mollers,M., Stein,M., Kengne Kamga Mobou,S., van Kampen,J., Voermans,J., Timen,A., GeurtsvanKessel,C., van der Eijk,A., Molenkamp,R., Koopmans,M.P.G., On behalf of the Dutch national COVID-19 response,team.",Wytemaweg 80 3015 Cn Rotterdam,,1/25/2021,B.1.356,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,Gelderland_18,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29781,GenBank,complete,,Netherlands:not collected,Netherlands,,Homo sapiens,,4/8/2020
ON539263,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,5/18/2022,BA.2.9,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,NJ-CDC-LC0615194,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29726,GenBank,complete,,USA: New Jersey,USA,NJ,Homo sapiens,oronasopharynx,5/5/2022
OR154625,Severe acute respiratory syndrome coronavirus 2,"Taboada,B., Zarate,S., Garcia-Lopez,R., Munoz-Medina,J.E., Gomez-Gil,B., Herrera-Estrella,A., Sanchez-Flores,A., Salas-Lais,A.G., Roche,B., Martinez-Morales,G., Dominguez Zarate,H., Duque Molina,C., Aviles Hernandez,R., Lopez,S., Arias,C.F., Alvarado-Yaah,J.E., Becerril-Vargas,E., Cabrera-Gaytan,D.A., Corona Armenta,G., Chaidez-Quiroz,C., Dominguez-Zarate,H., Enciso-Ibarra,J., Espinosa-Ayala,G., Fregoso-Rueda,D., Garcia-Gasca,A., Gonzalez,J.P., Gonzalez-Lopez,I., Grande,R., Herrera-Najera,C.I., Jimenez-Moraila,B., Lira-Morales,D., Maldonado-Meza,B.I., Marquez-Rosales,M.G., Martinez-Alvarez,J.C., Martinez-Miguel,B., Martinez-Morales,G.B., Martinez-Rodriguez,C., Mejia-Nepomuceno,F., Mireles-Rivera,M.G., Molina-Salinas,G.M., Montoya-Fuentes,H., Mujica-Sanchez,M., Nunez-Contreras,J., Salinas-Peralta,I.P., Rivas-Santiago,B.T., Rosales-Rivera,M., Salas-Hernandez,J., Santacruz-Tinoco,C.E., Selem-Mojica,N., Vazquez,G., Vazquez-Perez,J.A.","Instituto de Biotecnologia, Genetica del Desarrollo y Fisiologia Molecular",Mexico,6/21/2023,BA.5.2.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,TAM_9645,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29779,GenBank,complete,,Mexico,Mexico,,Homo sapiens,,7/19/2022
OW818409,Severe acute respiratory syndrome coronavirus 2,,"Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava",Slovakia,5/11/2022,BA.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,RNA,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29850,GenBank,complete,,Slovakia,Slovakia,,Homo sapiens,,4/21/2022
ON978737,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,7/13/2022,BA.5.2.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,NJ-CDC-LC0755228,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29624,GenBank,complete,,USA: New Jersey,USA,NJ,Homo sapiens,oronasopharynx,6/30/2022
OP258651,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,8/19/2022,BA.5.2.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,TX-CDC-QDX39705799,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29718,GenBank,complete,,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,8/1/2022
OY531014,Severe acute respiratory syndrome coronavirus 2,,"Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw",,7/27/2023,AY.4,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29890,GenBank,complete,,United Kingdom:Wales,United Kingdom,,Homo sapiens,,11/22/2021
